ds,yhat,yhat_lower,yhat_upper
2012-01-01,247.3607257202216,-148.9145436968268,654.2925074963191
2012-01-02,325.346760232386,-69.0927688358867,705.5116580191313
2012-01-03,402.6238516221179,18.141055695317945,795.652650898237
2012-01-04,233.62308376227332,-169.92223672400047,646.9767428566679
2012-01-05,237.19387056264142,-169.72224853145474,621.1422135701915
2012-01-06,243.82882893117224,-156.68431356176157,616.6643241890933
2012-01-07,243.12262012167847,-158.94430585173436,656.2281963475812
2012-01-08,242.41627830947758,-156.0988445000344,597.1566614027258
2012-01-09,320.40231282160255,-77.1516368629243,699.7069971547415
2012-01-10,397.67940421132414,4.528925115772045,790.4555527957223
2012-01-11,228.6786363518538,-168.94135199503808,625.2743591967393
2012-01-12,232.24942315191015,-135.32588879372346,618.3809392201438
2012-01-13,238.88438152039927,-178.2305980776168,612.1850235641377
2012-01-14,238.17817271096726,-161.67416950847849,635.9614443688577
2012-01-15,237.4718308985412,-156.82961434065967,613.2930537009335
2012-01-16,315.45786541059294,-56.876146435409396,691.9794726211863
2012-01-17,392.7349568005199,-18.357417418619814,753.1926761717383
2012-01-18,223.73418894091975,-160.89348150396023,616.7143591837995
2012-01-19,227.3049757410733,-177.2467293106478,612.7498577053351
2012-01-20,233.9399341096262,-184.9672644959383,617.854118114339
2012-01-21,233.23372529984044,-159.77531922921136,594.0897083133141
2012-01-22,232.52738348786662,-143.7498945162885,654.2821145882558
2012-01-23,310.5134179999549,-85.83742018024022,727.0837543078206
2012-01-24,387.79050938965656,-16.814170173848215,754.7727668510597
2012-01-25,218.7897415299857,-162.37197750988432,643.5151058428204
2012-01-26,222.36052833034205,-149.43097449938088,595.7230426151987
2012-01-27,228.99548669879633,-200.43530333453234,601.9118210628855
2012-01-28,228.2892778891293,-137.94205657489388,612.0545012523071
2012-01-29,227.58293607693028,-148.369463465416,593.6306384565803
2012-01-30,305.56897058917156,-68.06174547026174,682.3694225267694
2012-01-31,382.8460619787932,-6.321766084367302,795.1303518583907
2012-02-01,213.8452941193289,-188.09154382005204,583.6249798740876
2012-02-02,217.41608092020195,-173.32738084963634,607.4570699097154
2012-02-03,224.05103928956592,-180.75273130719046,649.6192190305621
2012-02-04,223.3448304807863,-165.5709140438076,583.5811535360324
2012-02-05,222.63848866941984,-174.3447709375324,615.783897864168
2012-02-06,300.6245231828157,-106.3656904912833,682.451279423212
2012-02-07,377.901614573326,-35.42049341552263,755.577342622945
2012-02-08,208.9008467143901,-192.55980986046728,607.100914635324
2012-02-09,212.471633515466,-178.96579425034014,601.9811929545154
2012-02-10,219.1065918847882,-179.51976906372803,609.2295660513862
2012-02-11,218.40038307607043,-199.3632014503388,601.0110632979768
2012-02-12,217.6940412647404,-156.15629460720902,618.9056120073509
2012-02-13,295.68007577765616,-118.08372640897825,708.6291114907526
2012-02-14,372.95716716957355,-38.84679882758456,793.6646887686125
2012-02-15,203.9563993117026,-204.3418442971657,572.3923402363097
2012-02-16,207.52718611407693,-170.69349370760625,609.1537378549691
2012-02-17,214.16214448430264,-188.5341394369021,588.0991918336061
2012-02-18,213.4559356768255,-164.7370226316059,603.925808352612
2012-02-19,212.74959386649311,-187.92705065148343,603.9286280925405
2012-02-20,290.7356283808227,-91.86566280608687,664.4318254695193
2012-02-21,368.01271977251486,-18.706629474983743,739.6879400474022
2012-02-22,199.01195191548163,-181.3695398664194,588.4364730495156
2012-02-23,202.58273871798957,-184.99847164706446,579.445690935803
2012-02-24,209.21769709019424,-199.03863079082043,605.7019937413118
2012-02-25,208.51148828387943,-173.9333179686549,601.4534327294398
2012-02-26,207.80514647524407,-170.37201825245404,620.5163827933144
2012-02-27,285.7911809912082,-106.7951001855319,659.3758660569925
2012-02-28,363.0682723851583,-13.633138916533705,770.5158111569621
2012-02-29,194.06750452976814,-190.53149610418643,579.6005477878718
2012-03-01,197.63829133492953,-196.90909898588473,632.9066955707075
2012-03-02,204.2732497093726,-185.4175922009188,612.0748027003747
2012-03-03,203.56704090553922,-190.69999995208977,574.3977617100048
2012-03-04,202.86069909933042,-197.31580039833696,580.5899117012414
2012-03-05,280.8467336175265,-85.61462525942163,665.1426365478293
2012-03-06,358.1238250140054,-9.475196782450574,754.6796235988442
2012-03-07,189.12305715976066,-214.65465990152904,601.8136150275207
2012-03-08,192.69384396578505,-203.59029689953556,593.4350131000106
2012-03-09,199.32880234000265,-186.3874982276298,610.5698923053446
2012-03-10,198.62259353603585,-184.66994451326636,598.1292345172458
2012-03-11,197.91625172928792,-204.52099729597745,589.328084767887
2012-03-12,275.9022862471974,-94.92602931357894,677.385009503396
2012-03-13,353.17937764270556,-62.58049069296739,720.2189426223902
2012-03-14,184.1786097884797,-214.3378885929249,593.4417954142904
2012-03-15,187.74939659468686,-203.85662809803617,592.0862391914421
2012-03-16,194.38435496863553,-184.45743404016358,574.1851239140034
2012-03-17,193.6781461645553,-206.5394367415803,603.6625461407791
2012-03-18,192.97180435817697,-214.73643581197774,599.9798442568964
2012-03-19,270.9578388759018,-118.70089271678468,661.8753614307652
2012-03-20,348.23493027147543,-70.50340741677564,737.8404514328831
2012-03-21,179.23416241741594,-194.71824671370086,587.711898661176
2012-03-22,182.80494922326943,-221.2360054386156,552.3453854058504
2012-03-23,189.4399075973253,-205.77738730515645,579.1521959052639
2012-03-24,188.73369879347717,-176.51133914657044,586.7910548926064
2012-03-25,188.02735698706607,-216.92716073152516,596.4402666429793
2012-03-26,266.01339150467066,-134.6755188439898,658.7895817661785
2012-03-27,343.2904829001536,-36.143570292671264,738.5601957364037
2012-03-28,174.2897150458539,-233.55246100121778,559.5331409607608
2012-03-29,177.86050185161395,-233.59618029669093,573.0749112759421
2012-03-30,184.4954602257534,-208.3643913125308,571.6320522222934
2012-03-31,183.78925142144507,-177.53022117947197,568.7505995886207
2012-04-01,183.08290961473645,-200.75150780744897,577.6443570488753
2012-04-02,261.06894413246647,-135.1864164926192,679.6265928302682
2012-04-03,338.3460355277999,-60.734611075735806,716.805993935
2012-04-04,169.34526767349902,-245.14014088834006,547.0415465888265
2012-04-05,172.91605447935623,-212.67309967603003,580.0856774827338
2012-04-06,179.55101285333237,-189.1159238201045,578.2117473073088
2012-04-07,178.84480404940712,-208.50191340577751,546.2388737027903
2012-04-08,178.138462242641,-232.17862890308407,590.0763782441433
2012-04-09,256.1244967602622,-157.21426945708734,646.4432074601706
2012-04-10,333.40158815558533,-45.74793321633939,731.6369324263553
2012-04-11,164.4008203018743,-228.56032153893702,581.1536090238922
2012-04-12,167.9716071084316,-219.55624541314046,566.2942889664895
2012-04-13,174.60656548361294,-204.10532990310094,579.0490482591986
2012-04-14,173.9003566809425,-229.86642009124503,569.8326843475487
2012-04-15,173.19401487514406,-212.5553358265689,565.0058013558471
2012-04-16,251.18004939411108,-109.69369882511019,646.9417166872815
2012-04-17,328.4571407906064,-65.66374271942972,731.7333564526275
2012-04-18,159.45637293774908,-238.1809783842971,578.5287394511748
2012-04-19,163.0271597450515,-224.9287068551556,570.7623244052305
2012-04-20,169.66211812056014,-222.9261903724984,589.4534468797526
2012-04-21,168.95590931781268,-228.1872333726909,561.7564767105054
2012-04-22,168.24956751271685,-222.82214473884014,586.6594002302786
2012-04-23,246.2356020317579,-172.16473556499983,628.6875487571775
2012-04-24,323.5126934285176,-70.891121521281,712.3512902556264
2012-04-25,154.51192557586683,-208.1246870276005,545.6386258007736
2012-04-26,158.08271238309482,-200.5853927660895,566.2618079523901
2012-04-27,164.71767075856172,-252.4438361915418,574.8660773725945
2012-04-28,164.01146195597008,-204.14058333646105,593.748158398271
2012-04-29,163.305120150555,-225.42083578337602,577.4813675884718
2012-04-30,241.291154669749,-128.4437725845296,664.1538500953473
2012-05-01,318.5682460664288,-63.911256027635254,749.16107273482
2012-05-02,149.56747821372738,-238.92209251868238,555.6612899897443
2012-05-03,153.13826502087284,-215.519547303127,550.0325180637236
2012-05-04,159.77322339633605,-273.07672533474414,571.6672709747792
2012-05-05,159.06701459372502,-224.96592470573142,555.6857005757485
2012-05-06,158.3606727885856,-223.4567526484622,542.0831767781704
2012-05-07,236.34670730788545,-170.30961342324963,633.548938626588
2012-05-08,313.62379870434,-95.48254534319199,691.307108745136
2012-05-09,144.62303085182512,-262.33577397718227,521.1133917401822
2012-05-10,148.19381765891612,-231.37506283880055,527.0444169973579
2012-05-11,154.82877603433758,-223.54855308373396,552.7986603207613
2012-05-12,154.12256723178842,-229.3518776960617,565.6203408214974
2012-05-13,153.4162254266161,-270.7763548365655,560.0113378453178
2012-05-14,231.40225994550514,-150.412684686512,621.4219521565341
2012-05-15,308.6793513423103,-63.583831642965876,697.1802941493601
2012-05-16,139.67858348966564,-274.79869344790916,505.14985783138485
2012-05-17,143.24937029685384,-225.11779829427027,529.6824772796319
2012-05-18,149.88432867216878,-262.7176887080725,572.6865165403326
2012-05-19,149.1781198697446,-259.81778873709214,551.6227546743473
2012-05-20,148.47177806452373,-229.66870693587342,536.5819958638215
2012-05-21,226.45781258364167,-171.57497593365576,634.5127627072462
2012-05-22,303.7349039804197,-83.6995556859758,695.6373341308306
2012-05-23,134.73413612750608,-275.71765418157725,527.1761711943822
2012-05-24,138.30492293479142,-259.930624127383,536.5069521029567
2012-05-25,144.9398813102838,-246.17740002887604,522.7582379770372
2012-05-26,144.23367250760668,-267.7209928162886,561.3211085808886
2012-05-27,143.52733070236195,-246.2552694038001,560.7006174194914
2012-05-28,221.51336522163274,-152.21640003333488,648.120944233622
2012-05-29,298.7904566182614,-119.30744885560654,688.3602279431163
2012-05-30,129.78968876560378,-239.6298993338183,512.1940685847585
2012-05-31,133.36047557267514,-253.1098549936571,546.0329919333237
2012-06-01,139.99543394811502,-236.56206537749685,554.9588092799551
2012-06-02,139.2892251454689,-269.47567052533196,541.4024484189711
2012-06-03,138.58288334020008,-229.65967148956074,543.8769370675178
2012-06-04,216.56891785962387,-167.38773124969032,571.0520520485338
2012-06-05,293.8460092563708,-73.27101103158456,721.6459080393328
2012-06-06,124.84524140346433,-249.21861725369357,526.3147298384604
2012-06-07,128.41602821071845,-281.0676589748254,521.0702727409692
2012-06-08,135.05098658622995,-262.4389996930825,517.199639579409
